title,description,category,priority,resolution,text,predicted,confidence
Suspicious print job,I'm seeing print jobs in the queue for a printer in a different building that I didn't send. My username is attached to them. Is someone using my credentials or is the print server glitching?,Security,Medium,Investigated print logs and found a configuration error in the shared printer mapping; reset printer permissions.,Suspicious print job. I'm seeing print jobs in the queue for a printer in a different building that I didn't send. My username is attached to them. Is someone using my credentials or is the print server glitching?,Infrastructure,0.32129633
Storage Array Latency Spike,"Our Nimble storage array is showing significant read/write latency during nightly backup windows. We are seeing IOPS exceeding the controller cache limit, resulting in timeouts for the guest VMs. We suspect a contention issue with the new snapshot schedule.",Infrastructure,High,Rescheduled snapshot jobs to be staggered by 30-minute intervals to distribute the I/O load across the array controllers.,"Storage Array Latency Spike. Our Nimble storage array is showing significant read/write latency during nightly backup windows. We are seeing IOPS exceeding the controller cache limit, resulting in timeouts for the guest VMs. We suspect a contention issue with the new snapshot schedule.",Storage,0.64829916
Unauthorized Device Alert,The NAC system just blocked a device on port 24. MAC address is 00:1A:2B:3C:4D:5E. It's trying to access the production network.,Infrastructure,High,Investigated the device and confirmed it was a personal laptop; moved the port to the restricted VLAN.,Unauthorized Device Alert. The NAC system just blocked a device on port 24. MAC address is 00:1A:2B:3C:4D:5E. It's trying to access the production network.,Network,0.35767576
BitLocker recovery prompt,My laptop won't boot into Windows 10. It keeps asking for a BitLocker recovery key. I don't know why this happened after the recent firmware update.,Storage,Medium,Retrieved the recovery key from the Azure AD portal; successfully bypassed the prompt and verified the drive integrity.,BitLocker recovery prompt. My laptop won't boot into Windows 10. It keeps asking for a BitLocker recovery key. I don't know why this happened after the recent firmware update.,Security,0.8138838
iSCSI connection dropping,The iSCSI target connection on our secondary backup server keeps flapping. Event ID 34 is appearing every 15 minutes in the System log. Please investigate the switch path.,Storage,High,Identified a faulty SFP module in the fiber switch; replaced the module and verified link stability.,iSCSI connection dropping. The iSCSI target connection on our secondary backup server keeps flapping. Event ID 34 is appearing every 15 minutes in the System log. Please investigate the switch path.,Infrastructure,0.32966676
Wi-Fi is super slow in the cafeteria,The internet is unusable when I'm eating lunch. My phone drops the signal constantly. It's been like this all week.,Infrastructure,Low,Increased AP power levels and optimized channel selection to mitigate signal interference from the kitchen microwave.,Wi-Fi is super slow in the cafeteria. The internet is unusable when I'm eating lunch. My phone drops the signal constantly. It's been like this all week.,Network,0.67844343
Physical Security System Offline,"Our NVR is completely failing again and showing a ""Disk Error"" on RAID array 0. The server logs clearly point to a dead Disk 2, and as a result, we aren't recording a single second of footage from the main lobby. This is unacceptable and needs to be fixed immediately.",Infrastructure,Critical,Hot-swapped the failed 4TB WD Purple drive; RAID array is currently rebuilding successfully.,"Physical Security System Offline. Our NVR is completely failing again and showing a ""Disk Error"" on RAID array 0. The server logs clearly point to a dead Disk 2, and as a result, we aren't recording a single second of footage from the main lobby. This is unacceptable and needs to be fixed immediately.",Storage,0.3841834
Can't connect to VPN,"Every time I try to connect to the office VPN using Cisco AnyConnect on macOS Monterey, it says 'Connection attempt failed due to invalid server certificate'. It was working fine yesterday morning.",Security,Medium,Updated the root CA certificate on the user's machine as the previous one had expired.,"Can't connect to VPN. Every time I try to connect to the office VPN using Cisco AnyConnect on macOS Monterey, it says 'Connection attempt failed due to invalid server certificate'. It was working fine yesterday morning.",Network,0.27314836
Account locked after failed login attempts,User is unable to access the system and is receiving an 'Account Locked' message. Unknown if this is due to a password rotation policy or a potential brute-force attack.,Access Management,High,"Verify user identity, unlock account, and inspect sign-in logs for suspicious origin IPs.",Account locked after failed login attempts. User is unable to access the system and is receiving an 'Account Locked' message. Unknown if this is due to a password rotation policy or a potential brute-force attack.,Security,0.52523726
VPN login looping,"Every time I try to connect to the Cisco AnyConnect VPN, it authenticates via DUO but then immediately disconnects. It says 'Login failed: Certificate validation error'. This is extremely frustrating as I need to finish a deployment before the morning.",Access Management,High,Cleared the expired machine certificate in the certificate manager and re-provisioned the device profile.,"VPN login looping. Every time I try to connect to the Cisco AnyConnect VPN, it authenticates via DUO but then immediately disconnects. It says 'Login failed: Certificate validation error'. This is extremely frustrating as I need to finish a deployment before the morning.",Network,0.24227284
Latency issues on internal file server,I'm experiencing significant packet loss when trying to pull CAD files from the central server (IP 10.0.4.22). Ping tests show spikes up to 400ms. Is there a bandwidth throttling policy applied to the Engineering VLAN?,Network,Medium,Found a loop in the secondary distribution switch caused by an unauthorized desktop switch plugged into a wall port.,Latency issues on internal file server. I'm experiencing significant packet loss when trying to pull CAD files from the central server (IP 10.0.4.22). Ping tests show spikes up to 400ms. Is there a bandwidth throttling policy applied to the Engineering VLAN?,Infrastructure,0.46627206
Account lockout after failed MFA,My account has been locked for the third time today. I keep getting an 'Access Denied: Error 0x80048823' when trying to approve the push notification from the Authenticator app on my iPhone 14. Please reset my lockout status immediately.,Security,High,Reset AD account lockout and synchronized Azure MFA service principal.,Account lockout after failed MFA. My account has been locked for the third time today. I keep getting an 'Access Denied: Error 0x80048823' when trying to approve the push notification from the Authenticator app on my iPhone 14. Please reset my lockout status immediately.,Access Management,0.45774728
