title,description,category_raw,priority_raw,resolution,source_file
Account Disruption,"Dear Customer Support Team,\n\nI am writing to report a significant problem with the centralized account management portal, which currently appears to be offline. This outage is blocking access to account settings, leading to substantial inconvenience. I have attempted to log in multiple times using different browsers and devices, but the issue persists.\n\nCould you please provide an update on the outage status and an estimated time for resolution? Also, are there any alternative ways to access and manage my account during this downtime?",Technical Support,high,"Thank you for reaching out, <name>. We are aware of the outage affecting the centralized account management system, and our technical team is actively working to resolve the issue. In the meantime, we suggest using alternative methods to manage your account, with a focus on restoring service as quickly as possible. We will provide an update as soon as the service is back online. We apologize for the inconvenience and appreciate your patience. If you have any further questions, please let us know.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Query About Smart Home System Integration Features,"Dear Customer Support Team,\n\nI hope this message reaches you well. I am reaching out to request detailed information about the capabilities of your smart home integration products listed on your website. As a potential customer aiming to develop a seamlessly interconnected home environment, it is essential to understand how your products interact with various smart home platforms.\n\nCould you kindly provide detailed compatibility information with popular smart home ecosystems such as Amazon Alexa, Google Assistant, and Apple?",Returns and Exchanges,medium,"Thank you for your inquiry. Our products support integration with Amazon Alexa, Google Assistant, and Apple HomeKit. Compatibility details can differ depending on the specific item; please let us know which models you are interested in. The setup process is generally user-friendly but may require professional installation. We regularly update our software to provide enhanced features. For comprehensive information on compatibility with upcoming updates, please specify the models you are considering.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Inquiry Regarding Invoice Details,"Dear Customer Support Team,\n\nI hope this message finds you well. I am reaching out to request clarification about the billing and payment procedures linked to my account. Recently, I observed some inconsistencies in the charges applied and would like to ensure I fully understand the billing cycle, accepted payment options, and any potential extra charges.\n\nFirstly, I would be grateful if you could provide a detailed explanation of how the billing cycle functions. Specifically, I am interested in knowing the start and end dates.\n\nThank you for your assistance regarding these billing inquiries.",Billing and Payments,low,"We appreciate you reaching out with your billing questions. The billing period generally begins on the first day of the month and concludes on the last day, with payments due by the 10th of the following month. We accept credit cards, bank transfers, and certain online payment services; credit card transactions are typically processed the quickest. Late payments may incur fees based on the due date, and any additional processing charges depend on the chosen payment method. You can review your statements for detailed payment information.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Question About Marketing Agency Software Compatibility,"Dear Support Team,\n\nI hope this message reaches you well. I am reaching out to ask about the compatibility of your products with the specific needs of marketing agencies. Our company is considering adopting these solutions to streamline our current marketing processes and wants to confirm that the products are fully compatible with the tools and platforms we currently utilize.\n\nCould you please supply detailed information regarding the compatibility of your products with popular marketing software, CRM systems, email marketing applications, and analytics platforms? Additionally, I would appreciate any relevant case studies or documentation tailored to our use case.",Sales and Pre-Sales,medium,"Thank you for your inquiry. Our product supports integration with major CRM, email marketing, and analytics platforms through APIs and customization options. Please specify the tools you are using so we can provide you with detailed documentation and relevant case studies.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Feature Query,"Dear Customer Support,\n\nI hope this message reaches you in good health. I am eager to learn more about the features of one of your products. Would you be able to share comprehensive details about its functionalities, specifications, and any distinctive characteristics it may possess? Additionally, if there are user manuals, tutorials, or demonstration videos available, I would be grateful if you could provide those resources. Gaining a thorough understanding of the features will assist me in making an informed decision regarding the product.\n\nThank you very much for your assistance. I look forward to your prompt reply.\n\nBest regards",Technical Support,high,"Thank you for your inquiry. Please specify which product you are interested in, so I can provide detailed information, features, and relevant resources.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
System Interruptions,"Dear Customer Support Team,\n\nI am submitting a report regarding multiple system service disruptions that are currently interfering with project operations and client interactions. These interruptions have notably reduced efficiency and caused delays in meeting important deadlines.\n\nInitial assessments suggest that the primary issue may be linked to widespread failures in network hardware connectivity. We have already carried out several basic troubleshooting procedures, such as rebooting devices and performing initial system checks, but the problems persist.",Service Outages and Maintenance,high,"Thank you for bringing the system disruptions to our attention. We understand the importance of maintaining stable services for project workflows and client communications, and we apologize for the inconvenience caused. To assist us in diagnosing the issue, could you please provide specific details about the affected systems or services, the approximate start time of the outages, and any error messages or logs you've encountered? Additionally, let us know if the outages are impacting users at a single location or across multiple sites.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Connectivity Problems with Printer on MacBook Pro,"Dear Support Team,\n\nI am reporting a recurring issue with the Laser Printer when printing from MacBook Pros running macOS 15. Several team members have recently encountered this problem, which appears to be connected to the latest macOS 15 system updates.\n\nWe believe the root cause might be a driver compatibility issue due to the updated operating systems or printer firmware. To troubleshoot, we have restarted the printers and MacBook devices, reinstalled the printer drivers, and verified configurations.",Technical Support,medium,"Thank you for reaching out regarding the connectivity problems with the Laser Printer on MacBook Pros after recent macOS 15 updates. We understand how disruptive this can be and appreciate your efforts in troubleshooting so far. To assist you further, please confirm the specific MacBook model and current macOS version you are using (including whether you have iOS devices like iPhones or iPads). Also, provide the model and driver version of the Laser Printer installed. Meanwhile, we recommend...",aa_dataset-tickets-multi-lang-5-2-50-version.csv
VPN Access Issue,"Customer Support,\n\nWe are encountering a disruption in VPN-router connectivity that is impacting several devices, notably essential remote telemedicine systems and EMR integrations. Attempts to resolve the issue by restarting affected devices and resetting the router have been unsuccessful. We suspect the problem may be related to firmware discrepancies following recent network configuration updates. This disruption is significantly affecting our operations, and we urgently need assistance to identify and fix the root cause. Kindly advise on additional troubleshooting steps.",Product Support,medium,"Thank you for reporting this problem. Please provide the model of your VPN router, the current firmware version, and details of any recent network modifications. This information will assist us in diagnosing the issue and recommending suitable troubleshooting measures or firmware updates.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Immediate Help Needed: Technical Problem with Cloud SaaS Service,"Dear Customer Support Team,\n\nI am submitting a report regarding a technical problem encountered with the Cloud SaaS platform, which is currently disrupting our business activities. I have observed that certain features are not functioning as expected, causing interruptions that hinder workflow efficiency.\n\nIn particular, I am facing sporadic connectivity issues when trying to access the platform. Sometimes, the system fails to load the dashboard, and the data displayed appears outdated or incomplete. Furthermore, the response times for executing commands have significantly increased, resulting in delays.",IT Support,medium,"Thanks for providing detailed information about the issue with the Cloud SaaS platform. We apologize for the inconvenience and understand the impact on your business. To assist us further, could you please confirm if the problem is affecting specific user accounts, and share any relevant error messages or screenshots? Also, let us know your current browser and operating system versions. Our technical team is ready to escalate this matter and work towards a swift resolution. Feel free to contact us by phone if needed.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Inquiry for Detailed Information on Agency Offerings,"Dear Customer Support Team,\n\nI hope this message reaches you well. I am writing to request detailed information about the services provided by your agency. Specifically, I am interested in understanding the variety of services available, the pricing models, and any special packages or offers that might be applicable.\n\nAdditionally, I would appreciate it if you could send brochures, service contracts, and case studies highlighting your previous work and client success stories. This information will greatly help me in making an informed decision.",Product Support,high,"Thank you for your interest in our agency's services. We offer a comprehensive selection of solutions including digital marketing, brand management, content creation, and campaign planning. Our pricing is flexible; standard packages can be customized to meet specific client requirements, and we often have special promotions. We are happy to send brochures, service agreements, and case studies that showcase our clients' successes. Please reply with your preferred email address to receive these materials. We look forward to assisting you through the onboarding process.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Request for Issue Explanation,"Dear Customer Support Team,\n\nI hope this message reaches you well. I am reaching out to request help with a problem I am experiencing. Unfortunately, I am not entirely sure how to clearly describe the issue, which makes it difficult to specify the exact nature of the problem.\n\nWhen I try to use the service, I observe unexpected behavior and cannot identify the precise cause. There are error messages and notifications, which make it challenging to provide a detailed description. I have attempted basic troubleshooting steps, such as restarting the application and checking for updates.",Product Support,medium,"Thank you for providing details about the issue. To assist you further, could you please describe the unexpected behavior you have observed while using the service? If possible, include the steps you took that led to the problem and attach relevant screenshots. Additionally, please inform us about your device type, operating system, and application version. This information will help us investigate and resolve the issue more efficiently.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Inquiry for In-Depth Details on Financial Institution Offerings,"Dear Customer Support Team,\n\nI hope this message reaches you in good health. I am writing to request detailed information about the spectrum of products provided by your financial institution. As a potential client, I am particularly eager to learn about the features, advantages, and terms linked to your investment and savings offerings.\n\nWould you be able to send comprehensive brochures or documentation that specify the details of your products? I am interested in information regarding account types, interest rates, fees, minimum deposit amounts, and any current promotional deals.",Customer Service,medium,"Thank you for your interest in our financial products. We offer a diverse selection of investment and savings solutions tailored to various needs, including high-yield savings accounts, fixed-term deposits, mutual funds, and retirement plans. Each product features specific benefits, interest rates, fees, minimum deposit requirements, and caters to different risk levels suitable for various customer profiles. We will provide detailed brochures that cover all these aspects, along with information on our current promotional offers.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Enhancing Multi-Unit Marketing Processes,"Dear Customer Support Team,\n\nI am reaching out to request comprehensive details on optimizing marketing workflows across multiple departments by utilizing advanced analytics, automation, and centralized account management. Our organization aims to improve campaign coordination and boost performance metrics across various marketing channels, believing that implementing such strategies will greatly enhance our overall marketing success.\n\nIn particular, I would like to understand the best practices for integrating data analytics tools that offer real-time insights across different teams.",Technical Support,high,"Thank you for your inquiry, <name>. To provide relevant assistance, could you please specify which analytics and automation tools your teams are currently using? This will enable us to suggest compatible solutions, effective practices, and relevant case studies tailored to your environment.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Inquiry for Comprehensive Marketing Service Details,"Dear Customer Support Team,\n\nI hope this message reaches you well. I am writing to request detailed information about your marketing offerings. Our company is currently considering new marketing approaches to strengthen our brand visibility and boost customer engagement, and we are keen to understand the array of services your team provides.\n\nSpecifically, I would like to learn about the various marketing packages available, including digital marketing solutions such as social media management, email marketing campaigns, and search engine optimization.",Customer Service,medium,"Thank you for your interest in our marketing solutions. We offer a variety of digital and traditional marketing packages, including social media management, SEO, email marketing, content development, print advertising, and more. Our pricing is adaptable, allowing us to create customized plans that suit your specific business requirements. We can also provide case studies relevant to your industry upon request. Please share your industry, business objectives, and budget preferences so we can deliver tailored information.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Query About Future Service Disruptions and Maintenance Timelines,"Dear Customer Support Team,\n\nI hope this message finds you well. I am reaching out to request detailed details regarding the schedule and scope of upcoming service disruptions and maintenance activities that could affect access to critical systems, particularly big data repositories, analytical models, and automated investment platforms. Understanding the timing and duration of these events is crucial for us to plan accordingly and minimize potential operational interruptions.\n\nCould you please provide a thorough overview of the planned maintenance?",Service Outages and Maintenance,medium,"Thank you for reaching out about the upcoming service disruptions and maintenance schedules. The scheduled outages and maintenance windows in the near future are expected to impact big data lakes, analytical models, and automated investment platforms. Maintenance plans will include advance notifications with detailed information about the timing, affected components, expected downtime, and recommended preparations. For urgent issues during maintenance periods, you may contact our support hotline at <tel_num> to reach the designated support team.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Proposal for Upgrades to Big Data Analytics Systems,"Dear Customer Support Team,\n\nI hope this message reaches you well. I am writing to request improvements to our existing big data analytics infrastructure. Our goal is to enhance support for advanced machine learning models developed in Python, enable automated rebalancing of investment portfolios, and customize ESG (Environmental, Social, and Governance) investment strategies tailored specifically for institutional clients.\n\nAt present, our system manages large data sets and aims to incorporate complex machine learning algorithms to deliver real-time analytics efficiently.",Technical Support,high,"Thank you for sharing your upgrade proposals. To provide an accurate timeline for assessment, could you please specify the current setup of your platform and preferred technology stacks? This information will help us evaluate feasibility, required resources, and outline the subsequent steps.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Guidelines for Incorporating Seagate Expansion Drives,"Dear Customer Support Team,\n\nI hope this message reaches you in good health. I am seeking comprehensive instructions on how to effectively integrate Seagate Expansion Desktop 6TB drives into healthcare storage solutions. My main priority is to guarantee that data management and storage procedures fully adhere to HIPAA and GDPR standards.\n\nCould you please share your suggestions for the best configuration of these drives within a healthcare setting? In particular, I am keen to learn about secure setup options that can assist in maintaining compliance.",Technical Support,high,"Thank you for your query. To provide precise advice, please specify your operating system and storage environment. We recommend implementing hardware encryption, enforcing strict access controls, performing regular firmware updates, and adopting secure backup practices to ensure compliance with HIPAA and GDPR regulations.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Unable to Access Office Applications,"Dear Customer Support,\n\nWe are encountering a problem where employees are unable to open Excel, PowerPoint, and other Office programs on MacBook Air devices, despite having valid licenses. The issue started after a recent macOS update, which we suspect may have caused compatibility problems, possibly due to expired authentication tokens.\n\nTo attempt a fix, we rebooted the laptops, tried repairing Office, and re-entered Microsoft credentials. Regrettably, none of these actions resolved the issue, and the applications still cannot be accessed.\n\nWe would",Human Resources,high,"Thank you for providing a detailed explanation of the issue. To assist you further, please specify any error messages encountered when launching Office applications. Also, verify whether your macOS version is up to date and confirm that the latest versions of Microsoft Office are installed. Since immediate access is critical, we can schedule a call at a convenient time to guide you through advanced troubleshooting steps. Please let us know your availability and any additional information.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Query,"Dear Customer Support Team,\n\nI hope this message reaches you well. I am reaching out to request detailed billing details and payment options for a QuickBooks Online subscription. Specifically, I am interested in understanding the available plans, their pricing structures, and any tailored options for institutional clients within the financial services industry. It would be helpful to receive documentation on invoicing procedures, payment timelines, discounts, and any special terms applicable to organizations like ours.\n\nAdditionally, please",Billing and Payments,medium,"Thank you for reaching out to us regarding your QuickBooks Online subscription inquiry. We are pleased to assist you with detailed billing information and payment options tailored for institutional clients in the financial services sector. QuickBooks Online offers several subscription tiers with varying features; institutional pricing discounts may also be available based on your organization's size and specific needs. We will send comprehensive documentation covering current plans, pricing details, invoicing processes, payment schedules, and any applicable discounts or special terms.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Multiple Device Connection Problems,"Dear Customer Support,\n\nWe are experiencing extensive connectivity problems impacting numerous devices throughout the office. The issues have been observed with headsets, printers, and workstations all at once, significantly disrupting daily activities. Our initial investigation indicates that the cause may be a network outage or a misconfiguration within the system infrastructure.\n\nOur team has already tried several troubleshooting methods, including rebooting affected devices and swapping hardware components, but unfortunately, these efforts did not resolve the disruptions.",IT Support,medium,"Thank you for providing details about the connectivity problems affecting various devices. To assist you further, could you please specify whether the network outage affects both wired and wireless connections, and if any error messages are displayed on the devices? Also, kindly inform us of any recent modifications to your network configuration or infrastructure. If possible, please share relevant network logs or screenshots. We will prioritize your case and, if necessary, arrange a call at your convenience to accelerate the troubleshooting process.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Network Connection Problems,"Dear Customer Support Team,\n\nI am reaching out to report persistent issues with network connectivity that are significantly disrupting my workflow. I've observed sporadic interruptions across several devices, which I believe may be caused by a malfunctioning repeater or potential interference from other devices within the network configuration.\n\nIn an attempt to resolve the problem, I have already taken several measures, such as restarting the affected equipment and repositioning the repeater to different locations within the premises. Despite these efforts, the connectivity issues persist.",Technical Support,medium,"Thank you for reaching out to us, <name>. We understand the importance of reliable and stable network connectivity. Currently, widespread problems with repeaters and interference in the environment are being reported. To assist you further, could you please specify which devices are impacted, provide details about your network setup, and mention any recent modifications? If possible, kindly share relevant error logs. We are prepared to guide you through advanced troubleshooting procedures.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Audio Hardware Detected,"Dear Customer Support Team,\n\nI am reaching out to request help with a problem I am facing on my PC. Recently, the audio hardware is no longer being recognized by the system. Despite several troubleshooting efforts, such as reconnecting the device, updating the drivers, and restarting the computer, the issue persists. This problem has made the audio output completely unusable, impacting my ability to listen to media and participate in video calls.\n\nI have checked the Device Manager, and the audio hardware appears in the list of devices, with the connections confirmed.",Technical Support,low,"Thank you for reaching out to us, <name>. Since the audio hardware is detected in Device Manager and drivers have been updated and the system restarted, please ensure the device is securely connected and try using a different port or cable. If you have a removable audio card, reseat it if possible. If these steps help, please let us know the specific model of your audio device, whether it is built-in or external, so we can provide more targeted assistance.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Resolving Bose Headset and QNAP NAS Connection Problems,"Dear Customer Support Team,\n\nI hope this message reaches you in good health. I am seeking help regarding an issue with connecting my Bose headset to my QNAP NAS device. Despite numerous efforts to establish a reliable connection, I am unable to get the headset to function correctly with the NAS, which is causing considerable disruptions to my daily activities.\n\nI have verified that both devices are running the latest firmware and software updates. I also attempted to reconnect and restart the devices multiple times,",Technical Support,medium,"Thank you for reaching out. Could you specify whether you are trying to connect the Bose headset to the QNAP NAS via Bluetooth, USB, or another method? This will help us provide more precise assistance.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Intermittent Access Problems on SaaS Platform,"Currently facing sporadic connectivity difficulties with the cloud-native SaaS system. The suspected reason appears to be linked to orchestration resource distribution within Kubernetes-managed microservices. After restarting the affected services and examining deployment logs, the issue continues. Further investigation and escalation are required to resolve this matter swiftly.",Customer Service,medium,We appreciate you bringing this to our attention. We are escalating the issue to the infrastructure team and will share their findings as soon as possible.,aa_dataset-tickets-multi-lang-5-2-50-version.csv
Problem with Payment Billing Procedures,"Customer Service, I am reaching out to report an issue with the billing payment process on my account. Recently, there have been inconsistencies in the billed amounts and delays in confirming payments. This problem is causing inconvenience, and I would be grateful for quick support to resolve it. Please inform me if you need further details from my side to examine the matter. Thank you for your understanding and assistance.",Billing and Payments,medium,"Thank you for contacting us about the discrepancies and delays observed in the billing payment process. We apologize for any inconvenience this may have caused. To help us assist you efficiently, could you please provide your account number, along with the specific dates, amounts, and transactions in question? This information will enable us to swiftly investigate and identify the discrepancies. If additional verification is necessary, we might request further details. If you prefer to discuss this over the phone, please let us know a convenient time for a call. We appreciate your cooperation.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Request for CI/CD Pipeline Documentation,"Dear Customer Support Team,\n\nI hope this message finds you well. I am reaching out to request detailed documentation related to the CI/CD pipeline employed in the current project. Comprehensive information on setup procedures, configurations, and best practices would be immensely helpful for our development team to optimize workflows and ensure seamless deployment processes.\n\nIn particular, I am interested in understanding the steps involved in the pipeline, the tools and technologies integrated, as well as recommended guidelines for maintenance and troubleshooting. Additionally, if there are sample configuration templates available, please share those as well.",Technical Support,low,"Thank you for reaching out regarding the CI/CD pipeline documentation. Please provide relevant comprehensive materials. Could you specify the project environment you are referring to? Also, let us know which tools or platforms your team is using, such as Jenkins, GitLab, or others. Once we have this information, we can send detailed documentation covering setup, configuration, best practices, and sample templates. Please inform us of any access requirements or necessary steps. We look forward to your response to proceed further.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Connectivity Problems with Smart Device,"Dear Customer Support Team,\n\nI hope this message finds you well. I am writing to report an ongoing issue with the connection of my smart device within the system. Over the past few days, I have encountered frequent disruptions that have significantly compromised the device's ability to stay connected to the network consistently.\n\nInitially, the device functioned perfectly and integrated smoothly with the system. However, lately, it has been disconnecting sporadically without any clear reason. This connectivity failure is affecting the overall performance and usability of the device.",Customer Service,low,"Thank you for reaching out regarding the connectivity problem with your smart device. To assist you further, could you please provide the device model and serial number, as well as any recent modifications made to the system? If possible, please also share any error messages or logs you have observed. With this information, I can recommend specific troubleshooting steps or arrange a call if necessary. We look forward to resolving this issue quickly for you.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Inquiry for Comprehensive Billing Procedure Details,"Dear Customer Support Team,\n\nI hope this message reaches you well. I am reaching out to request detailed information about the billing procedure. The customer wishes to gain a clearer understanding of how billing is managed from beginning to end, including critical dates, charges, accepted payment options, and the handling of adjustments or disputes.\n\nIn particular, I am interested in understanding the timeline of billing cycles, when invoices are issued and sent, and the expected deadlines for payments. Additionally, it would be helpful to know about any penalties for late payments.\n\nThank you for your assistance.",Billing and Payments,low,"We appreciate your inquiry about the billing process. Invoices are issued at the start of each billing cycle and are sent via email, with payment due within 30 days. Accepted payment methods include credit card, bank transfer, and PayPal. Late payments may attract a fee of 2% per month. For billing errors or disputes, please contact us with supporting information so we can investigate and process any necessary credits or refunds. Feel free to reach out if you need further assistance.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Urgent: Ongoing System Failures Disrupting EMR/PACS Telehealth Services,"Dear Customer Support Team,\n\nWe are facing repeated system failures that are significantly impairing EMR/PACS integrations as well as telemedicine platforms. Despite our prompt attempts to restart the affected equipment and activate incident response procedures, the problems persist and continue to interfere with essential healthcare functions.\n\nOur preliminary investigations indicate that the underlying issues might be related to hardware malfunctions or possible security breaches. We have taken immediate measures to isolate the affected areas, but the systems are still not stable.",Technical Support,high,"Thank you for reporting these urgent outages. To assist you promptly, could you please provide specific error messages, the names of the impacted systems, and any recent modifications to your environment? For immediate phone support, kindly share a suitable contact number and preferred time for a call.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Multiple Equipment Failures Affecting Operations,"Dear Customer Support Team,\n\nI am urgently reporting a series of severe outages impacting several key devices critical to our operations. These disruptions are severely hindering our ability to maintain normal business activities and demand immediate intervention.\n\nThe affected devices include network switches, corporate laptops, and vital cloud-based software applications. The issues seem to originate from a potential infrastructure fault, and initial troubleshooting has involved hardware resets.",Technical Support,high,"Thank you for reporting these urgent outages, <name>. To assist you swiftly, please provide the serial numbers of the devices, current error messages, recent modifications to your environment, and details of your cloud service accounts. Upon receipt, we will escalate the case and initiate a detailed investigation. If necessary, inform us of a suitable time for a call to discuss further.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Organizational Revision,"Dear Customer Support Team,\n\nI am reaching out to request an update on the structural details of our organization. The current records reflect information about the marketing agency, which has recently experienced several significant changes. To ensure our records accurately depict the current operations, I would appreciate your assistance in updating the information.\n\nFirst, I would like to clarify the refined roles within the various departments of the agency. Each department now has clearly defined responsibilities aimed at enhancing efficiency and accountability. For instance, the Creative Department is now dedicated solely to content creation.",General Inquiry,medium,"Thank you for informing us about the recent changes in the marketing agency's organizational structure. We appreciate the detailed overview of the updated departmental roles, technology integrations, enhanced client management procedures, and data-driven marketing strategies. To ensure our records are completely accurate, could you please provide official documentation such as organizational charts outlining the new structure? Additionally, if there have been updates regarding key contacts or departmental points of contact, kindly share that information with us.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Inquiry for Guidance on Smart Water Leak Detector Sensor Setup,"Dear Customer Support,\n\nI am looking for comprehensive instructions on how to configure and integrate the Smart Water Leak Detectors within a healthcare setting. Specifically, I require details on compliance considerations connected to EMR and PACS systems to guarantee continuous monitoring. Any technical documentation or best practices to facilitate the integration process would be highly valued.\n\nThank you for your assistance.\n\nBest regards,\n[Your Name]",Product Support,high,"Thank you for your inquiry regarding the integration of Smart Water Leak Detectors within healthcare systems. To provide precise guidance, please specify the particular EMR and PACS platforms involved, as integration procedures can differ. Typically, these sensors utilize standard communication protocols such as MQTT or HTTP, and the technical documentation includes information on relevant API endpoints, data encryption, and security measures to meet regulatory standards. For round-the-clock monitoring, we recommend...",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Request for Integration Assistance,"Dear Customer Support Team,\n\nI hope this message finds you well. I am currently in the process of integrating the Smart-Türklingel video doorbells with Google Nest Wifi Routers into our existing Data Engineering infrastructure. Our objective is to enable secure, real-time analytics and automated monitoring to improve operational efficiency and security.\n\nWe would greatly value comprehensive guidance on the integration process, including suggested APIs, security measures, and configuration options to ensure smooth data transmission.",Technical Support,medium,"Thank you for reaching out regarding the integration of Smart-Türklingel video doorbells with Google Nest Wifi Routers into your Data Engineering setup. To provide customized assistance, could you please share details about your data engineering platform, preferred programming language, and whether you need an on-premises or cloud-based integration? Additionally, please inform us of any regulatory compliance requirements. With this information, we can recommend appropriate APIs, security protocols, configuration settings, and tools to facilitate real-time data transfer.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Alert for Unauthorized Entry,"Dear Customer Support,\n\nI have recently been notified of attempts at unauthorized entry into my IoT gadgets. This has raised significant worries about the security of my home network. I would be grateful for immediate help in examining this issue to ensure my devices are fully secured. Please advise on additional security protocols I can implement and keep me informed about any updates related to this problem. Thank you for your swift response to this urgent security matter.\n\nSincerely,\n[Your Name]",Customer Service,low,"We appreciate your reaching out regarding the alert of unauthorized access to your IoT devices. Kindly specify the device models and provide the exact alert details you've received so we can proceed with a thorough investigation. In the meantime, we suggest changing your device passwords, updating their firmware, and enabling two-factor authentication where possible. Feel free to ask for step-by-step guidance on these security measures if needed.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Multiple Product Interruptions Disrupting Services,"Dear Support Team,\n\nWe are currently experiencing several disruptions across our products, which are affecting scanning capabilities, device connections, and access to cloud functionalities. These issues seem to be linked to a failure in the Kubernetes orchestration CI/CD pipeline. We have attempted to resolve the problem by restarting services and redeploying the impacted pods, but the issues continue. We urgently require assistance to identify and address the root cause to restore full service operation.\n\nThank you for your prompt attention to this matter.",Technical Support,high,"Thank you for reaching out regarding the ongoing disruptions affecting scanning, device connectivity, and cloud services. We appreciate the efforts already made in restarting services and redeploying pods. To further assist, could you please share specific error messages, logs from the affected services and pods? Additionally, inform us of the current versions of Kubernetes, CI/CD tools, and related systems in use. If you prefer to discuss this over the phone, please let us know a convenient time.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
Revise Marketing Firm Framework,"Dear Customer Service Team,\n\nI am reaching out to request modifications to the marketing firm's framework. I wish to incorporate new technologies to broaden our existing offerings, including data-centric analytics, video production, and user experience design. Furthermore, improving account management features is a priority to better assist our clients. Our goal is to adopt growth hacking tactics centered on emerging platforms to remain competitive and innovative. Kindly inform us of the necessary procedures to implement these updates and available support options.",Customer Service,high,"Thank you for your inquiry. Please share the current structure of your agency, your preferred timeline, and any specific steps or support options you require to proceed.",aa_dataset-tickets-multi-lang-5-2-50-version.csv
