title,description,category,priority,resolution
Need access to the Marketing Share Drive,"Hi, I just moved over from the Sales department. Can you please add me to the M:\Marketing folder? I can currently see the drive but get an 'Access Denied' error when trying to open it.",Access Management,Low,Added user to the 'Marketing-Read-Write' Active Directory security group and requested a log-off/log-on.
Cannot access shared HR drive,I am trying to open the Z: drive but I keep getting an 'Access Denied' error. My manager said I should have permissions for the 'HR_Restricted' folder. I am running Windows 11 Pro.,Access Management,Medium,Reset the user's Active Directory group membership and refreshed the group policy on the local machine.
VPN login timeout,Trying to log in and it just hangs at 40%.,Network,Medium,Cleared stale sessions on the VPN concentrator and advised the user to re-import the profile config file.
NAS volume unmounted unexpectedly,Our QNAP TS-h886 storage server suddenly dropped the iSCSI target connection around 02:00 AM. Several VMs hosted on this volume are currently in a paused state. We are seeing 'Target portal unreachable' errors in the vSphere logs.,Storage,Critical,Re-established network bond redundancy and forced a re-scan of the iSCSI HBA adapters on the host.
Packet loss on guest network,"Multiple visitors have reported that they cannot load basic webpages while connected to the Guest_WiFi network. Signal strength is excellent, but DNS resolution seems to be failing intermittently.",Network,Low,Updated DNS forwarders on the guest gateway to use reliable public resolvers.
SSH access request to dev-srv-04,I need SSH access to dev-srv-04 for the upcoming performance testing. My public key is attached. Could you add me to the authorized_keys file?,Access Management,Low,Added the user's public key to the server's /home/user/.ssh/authorized_keys file and verified connection.
USB External drive not detected,"I plugged my 2TB Western Digital drive into the USB 3.0 port on my workstation and nothing happens. The light on the drive blinks, but it doesn't show up in Disk Management. Frustrating because I have a deadline today.",Storage,Low,Assigned a new drive letter in Disk Management and updated the USB host controller driver.
Can't get into the server room,The HID badge reader on the primary server room door is completely dead. I've swiped three different badges and nothing happens. The light on the reader isn't even turning on.,Infrastructure,Medium,Reset the local access control panel (ACU-01) and re-seated the power connector.
Print jobs stuck in spooler,The ERP system sends print jobs that never arrive at the network printer. The spooler shows 'Error' status.,Network,Low,Updated printer firmware and corrected a routing issue that was blocking the print server's access to the printer's IP.
SSO Login Loop - Chrome,"I'm stuck in a login loop when trying to access Salesforce. I enter my credentials, MFA approves, but it just redirects back to the login page. I've tried clearing cookies and cache on Chrome v122.",Access Management,Medium,Cleared the browser's persistent storage and updated the SAML assertion settings for the user's profile.
Encryption error on external drive,"I'm trying to backup some sensitive data to an encrypted WD My Passport drive, but the encryption software fails with Error Code 0x80040154. I've tried different ports on my workstation, but it's the same error.",Security,Low,Reinstalled the encryption driver and updated the device firmware. Confirmed compatibility with Windows 11 bit-locker standards.
